ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9
305;1;451471;101;56;7;13;5;0;1;0;2
306;1;511038;319;11;44;17;1;2;0;1;1
307;1;517679;277;38;70;1;2;7;0;0;2
308;1;1080608;1490;371;58;33;4;14;0;53;15
309;1;1108071;899;128;32;14;52;15;1;0;2
310;1;371893;41;5;1;10;0;0;0;0;2
311;1;405162;0;0;0;0;0;0;0;0;0
312;1;405162;0;0;0;0;0;0;0;0;0
313;1;365310;0;0;0;0;0;0;0;0;0
314;1;464940;0;0;0;0;0;0;0;0;0
315;1;391878;0;0;0;0;0;0;0;0;0
316;1;484593;180;77;4;5;0;0;0;2;5
317;1;497694;327;44;70;4;2;7;0;0;2
318;1;351870;125;12;0;6;0;0;6;0;7
319;1;1133811;1424;366;61;34;4;14;0;53;15
320;1;417127;951;227;86;20;7;0;26;0;2
321;1;351679;282;36;9;1;14;1;0;0;4
322;1;604168;229;3;15;1;5;0;0;0;1
323;1;338588;107;23;12;9;1;0;0;0;2
324;1;318413;334;42;3;8;1;1;13;0;1
325;1;358487;55;39;11;9;0;13;51;1;2
326;1;365130;84;63;5;15;0;10;1;0;2
327;1;603961;235;44;115;20;45;0;0;0;2
328;1;451007;533;29;23;13;16;1;2;21;11
329;1;491152;252;22;69;3;2;6;0;0;2
330;1;597201;285;142;70;18;43;16;2;1;2
331;1;371778;82;62;4;15;0;8;1;0;2
332;1;358561;29;8;1;55;6;3;0;4;1
333;1;391634;196;31;12;2;0;0;0;0;3
334;1;616928;319;160;102;25;26;103;0;1;42
335;1;484509;251;31;70;1;0;2;0;0;2
336;1;229805;0;0;0;0;0;0;0;0;0
337;1;391878;0;0;0;0;0;0;0;0;0
338;1;1109214;0;0;0;0;0;0;0;0;0
339;1;358668;0;0;0;0;0;0;0;0;0
340;1;445014;0;0;0;0;0;0;0;0;0
341;1;431730;0;0;0;0;0;0;0;0;0
342;1;378594;0;0;0;0;0;0;0;0;0
343;1;498150;0;0;0;0;0;0;0;0;0
344;1;318816;0;0;0;0;0;0;0;0;0
345;1;155742;28;0;24;0;4;1;0;0;1
346;1;391265;367;55;28;96;1;44;17;1;4
347;1;167014;353;81;20;1;0;0;2;8;6
348;1;438317;0;19;0;0;14;0;21;0;1
349;1;338742;0;0;0;0;0;0;0;0;0
350;1;378594;0;0;0;0;0;0;0;0;0
351;1;470950;408;23;40;17;100;2;5;36;1
352;1;351862;133;10;0;8;0;0;6;0;7
353;1;518076;0;0;0;0;0;0;0;0;0
354;1;318816;0;0;0;0;0;0;0;0;0
355;1;318816;0;0;0;0;0;0;0;0;0
356;1;371952;0;0;0;0;0;0;0;0;0
357;1;352026;0;0;0;0;0;0;0;0;0
358;1;398471;13;9;16;4;1;0;2;0;4
359;1;384599;322;61;114;11;0;86;2;1;40
360;1;1088251;841;87;25;14;52;15;1;0;2
361;1;233042;18;1;2;0;5;0;0;0;2
362;1;969357;246;57;58;3;4;6;0;0;1
363;1;637286;242;47;48;3;4;0;0;0;2
364;1;491160;241;24;70;3;2;6;0;0;2
365;1;630623;261;51;47;2;4;0;0;0;2
366;1;1114974;680;88;25;14;57;15;1;0;2
367;1;311991;125;30;1;11;5;9;0;0;2
368;1;524701;11;4;0;0;0;0;0;0;2
369;1;378356;74;23;46;69;4;11;0;7;4
370;1;338242;342;121;16;3;10;2;2;3;1
371;1;424910;88;20;2;65;0;0;0;1;2
372;1;1002252;482;131;13;31;27;1;0;1;4
373;1;444661;168;39;13;4;68;20;6;0;35
374;1;152530;206;20;2;1;2;0;0;0;5
375;1;624009;248;34;48;3;4;0;0;0;2
376;1;1081067;1150;266;49;28;4;14;0;53;15
377;1;1128261;679;86;25;14;57;15;1;0;2
378;1;391655;192;14;0;10;6;0;0;0;1
379;1;331219;540;282;26;10;9;0;13;0;1
380;1;384571;346;0;172;0;58;74;0;14;1
381;1;630379;286;165;72;18;51;15;2;0;2
382;1;358541;23;0;92;0;1;10;0;0;1
383;1;351662;166;149;10;0;12;9;16;1;1
384;1;345059;219;28;63;4;3;7;0;0;1
385;1;1135767;0;0;9;0;0;1;0;0;5
386;1;371952;0;0;0;0;0;0;0;0;0
387;1;411804;0;0;0;0;0;0;0;0;0
388;1;345384;0;0;0;0;0;0;0;0;0
389;1;365310;0;0;0;0;0;0;0;0;0
390;1;1115856;0;0;0;0;0;0;0;0;0
391;1;305398;75;27;13;17;0;0;0;0;2
392;1;397899;434;58;34;13;34;34;7;6;1
393;1;597553;127;30;19;2;43;1;2;1;2
394;1;338462;210;54;0;2;5;7;0;0;2
395;1;557440;200;208;8;0;5;12;47;1;7
396;1;1121659;649;78;26;14;54;15;1;0;2
397;1;391686;92;23;3;65;3;1;2;1;2
398;1;385149;67;7;1;10;0;0;0;0;2
399;1;1134690;801;117;37;31;14;11;57;20;4
400;1;385236;0;0;0;0;0;0;0;0;0
401;1;351773;113;43;28;1;65;0;0;0;3
402;1;418241;125;33;18;20;4;0;4;0;1
403;1;590570;277;139;70;18;43;16;2;1;2
404;1;338432;253;28;15;2;4;2;2;3;1
405;1;291273;648;238;25;11;25;11;1;14;2
406;1;491119;266;39;69;4;2;7;0;0;2
407;1;411750;35;12;2;2;0;0;0;0;3
408;1;976123;118;95;12;7;2;1;0;0;16
409;1;464508;281;60;78;2;2;7;0;0;2
410;1;325273;154;22;2;4;1;0;0;0;2
411;1;398461;41;1;1;2;10;1;2;0;1
412;1;312104;30;28;3;0;4;3;1;0;1
413;1;591065;28;0;2;0;1;0;0;0;42
414;1;604422;0;0;0;0;0;0;0;0;0
415;1;425088;0;0;0;0;0;0;0;0;0
416;1;42845;0;0;0;0;0;0;0;0;0
417;1;232470;0;0;0;0;0;0;0;0;0
418;1;365310;0;0;0;0;0;0;0;0;0
419;1;470880;523;67;64;26;17;3;0;1;1
420;1;351674;287;36;9;1;14;1;0;0;4
421;1;458271;21;4;0;0;0;0;0;0;2
422;1;398343;103;54;1;0;14;1;0;0;4
423;1;477406;569;85;68;26;32;4;2;21;11
424;1;285678;436;91;59;17;47;0;6;0;4
425;1;464622;139;72;11;87;6;0;0;1;2
426;1;484507;242;33;69;4;2;7;0;0;2
427;1;1101699;678;86;25;14;52;15;1;0;2
428;1;364862;278;122;26;6;8;2;2;3;1
429;1;384911;225;20;65;4;3;7;0;0;1
430;1;637471;138;9;0;2;5;2;1;1;3
431;1;338399;158;143;10;4;9;15;1;1;2
432;1;1088122;877;85;88;17;63;20;14;1;1
433;1;457853;297;40;6;73;25;1;0;1;2
434;1;411410;315;11;48;17;1;0;0;1;1
435;1;364863;172;223;11;0;14;9;16;1;1
436;1;438306;30;20;4;8;0;0;2;0;2
437;1;365132;82;65;5;15;0;8;1;0;2
438;1;404841;152;33;94;10;9;8;13;0;2
439;1;365245;45;9;1;0;0;8;0;0;2
440;1;530897;119;0;276;0;45;6;0;14;3
441;1;351133;546;287;26;10;9;1;13;0;1
442;1;418124;231;10;31;16;0;11;20;1;2
443;1;378333;171;48;28;9;0;0;2;0;3
444;1;332038;31;22;0;0;4;0;0;0;5
445;1;451317;239;20;70;0;2;6;0;0;2
446;1;444511;379;23;48;17;0;13;20;1;2
447;1;636823;332;164;108;26;31;103;0;3;42
448;1;132063;219;0;126;0;13;3;0;0;6
449;1;484669;17;0;163;0;5;3;0;8;1
450;1;484866;0;0;0;0;0;0;0;0;0
451;1;365046;216;19;9;1;14;1;0;0;4
452;1;1080728;1386;358;56;32;4;14;0;53;15
453;1;477732;332;66;78;5;2;7;0;0;2
454;1;378347;88;17;15;38;2;18;1;0;68
455;1;245063;207;93;0;7;1;0;0;0;14
456;1;929315;477;40;24;7;2;2;0;0;13
457;1;345221;135;17;3;0;3;1;0;0;4
458;1;311803;307;36;9;0;14;1;0;0;4
459;1;1114504;947;280;19;31;1;1;0;58;15
460;1;471582;0;0;0;0;0;0;0;0;0
461;1;371952;0;0;0;0;0;0;0;0;0
462;1;345384;0;0;0;0;0;0;0;0;0
463;1;411804;0;0;0;0;0;0;0;0;0
464;1;418446;0;0;0;0;0;0;0;0;0
465;1;46740;0;0;0;0;0;0;0;0;0
466;1;378525;60;4;0;0;0;1;0;0;4
467;1;351836;181;0;2;0;0;1;1;3;2
468;1;590863;253;8;0;2;5;2;1;1;3
469;1;491357;104;20;15;4;4;1;0;0;3
470;1;384528;237;241;53;19;115;5;34;2;2
471;1;371665;228;31;9;0;14;1;0;0;4
472;1;298688;103;41;0;10;44;0;0;3;1
473;1;557281;313;164;74;23;52;16;2;1;2
474;1;358216;177;223;11;0;14;9;16;1;1
475;1;497863;182;31;62;1;2;7;0;0;2
476;1;331785;231;41;8;13;4;0;16;0;2
477;1;404751;352;12;14;17;14;0;0;1;1
478;1;438141;169;35;4;20;0;1;0;0;2
479;1;365208;56;24;2;13;5;0;0;0;2
480;1;497552;476;27;28;13;16;4;2;21;11
481;1;497746;292;31;69;1;2;7;0;0;2
482;1;418103;245;13;33;16;0;13;20;1;2
483;1;490957;204;254;10;6;69;0;0;2;6
484;1;1088427;635;163;16;29;0;1;0;2;15
485;1;411804;0;0;0;0;0;0;0;0;0
486;1;345384;0;0;0;0;0;0;0;0;0
487;1;371952;0;0;0;0;0;0;0;0;0
488;1;484866;0;0;0;0;0;0;0;0;0
489;1;345384;0;0;0;0;0;0;0;0;0
490;1;276545;0;0;0;0;0;0;0;0;0
491;1;237595;0;0;0;0;0;0;0;0;0
492;1;312174;0;0;0;0;0;0;0;0;0
493;1;478224;0;0;0;0;0;0;0;0;0
494;1;484866;0;0;0;0;0;0;0;0;0
495;1;405162;0;0;0;0;0;0;0;0;0
496;1;338693;23;15;5;3;0;0;0;0;3
497;1;471204;249;42;72;4;2;7;0;0;2
498;1;378416;82;63;5;15;0;10;1;0;2
499;1;338662;68;2;1;0;7;0;0;0;2
500;1;451452;147;34;5;14;0;2;0;0;2
501;1;391528;247;37;17;5;36;1;3;3;1
502;1;398206;105;111;44;1;42;0;9;0;2
503;1;456394;1257;371;142;64;24;0;17;15;14
504;1;385156;57;16;0;0;3;0;0;0;4
505;1;391411;290;24;21;86;1;41;0;0;4
506;1;331801;217;48;9;0;20;1;0;0;4
507;1;484449;314;23;70;0;2;6;0;0;2
508;1;305168;210;126;21;5;0;0;0;0;2
509;1;58418;6;0;0;0;0;0;0;0;1
510;1;371952;0;0;0;0;0;0;0;0;0
511;1;312011;127;21;8;4;1;0;0;0;2
512;1;424926;74;12;45;24;1;1;2;2;1
513;1;365036;219;27;9;0;14;1;0;0;4
514;1;477816;256;60;79;2;2;7;0;0;2
515;1;371695;205;13;10;17;4;3;0;4;1
516;1;909120;542;213;26;23;25;0;1;0;4
517;1;345049;260;44;8;8;9;0;3;2;1
518;1;617038;326;182;79;26;29;15;3;6;2
519;1;358561;0;18;0;0;86;0;1;0;2
520;1;484144;555;65;58;13;29;0;0;1;1
521;1;583890;275;162;75;18;51;15;2;6;2
522;1;358492;145;25;0;0;0;4;0;0;2
523;1;477875;192;64;19;31;21;13;4;0;5
524;1;484206;432;157;37;0;19;5;5;0;5
525;1;305343;130;47;3;1;2;0;0;0;6
526;1;377963;286;275;18;17;15;16;1;1;2
527;1;378425;160;0;2;0;0;1;1;3;2
528;1;338565;148;9;13;0;2;0;1;0;4
529;1;471322;122;54;71;2;2;7;0;0;2
530;1;378383;136;24;38;3;4;0;0;4;2
531;1;391722;85;67;1;0;1;0;0;0;2
532;1;503991;647;93;40;18;1;0;0;1;1
533;1;491041;298;88;69;1;2;7;0;0;2
534;1;225813;62;7;25;2;0;0;0;0;1
535;1;364922;189;164;5;5;10;9;2;3;1
536;1;378327;160;95;1;6;0;1;2;1;1
537;1;451165;204;205;11;0;4;16;44;0;7
538;1;1088425;635;104;95;6;3;6;0;0;14
539;1;1134941;655;84;18;14;52;15;1;0;2
540;1;457205;794;121;76;19;37;1;30;0;15
541;1;345249;0;0;60;0;0;70;0;0;5
542;1;457823;264;47;21;91;11;18;14;5;4
543;1;975592;614;80;60;3;3;8;0;0;14
544;1;272330;222;61;16;1;0;0;4;2;14
545;1;398300;195;6;12;1;2;0;2;1;1
546;1;1153663;1495;380;50;34;4;14;0;53;15
547;1;749566;500;198;191;8;15;65;0;0;3
548;1;398058;289;53;33;5;34;34;7;6;1
549;1;391878;0;0;0;0;0;0;0;0;0
550;1;411804;0;0;0;0;0;0;0;0;0
551;1;311975;124;29;8;9;1;15;4;6;3
