ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
190;1;398520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;1;504792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;1;418446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;1;278964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;1;464426;126;255;0;25;18;0;79;0;0;1;2;0;0;6;0;0;0;0;0;0;2
196;1;424464;401;84;0;45;75;0;14;1;0;2;0;0;0;0;0;0;0;0;0;0;2
197;1;609815;0;792;0;189;0;0;153;0;60;0;0;17;0;9;0;0;13;0;15;0;1
198;1;983016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;1;352026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;1;257070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;1;470804;494;190;21;0;10;7;29;0;17;5;0;0;0;1;0;2;0;0;1;0;1
202;1;358205;217;81;61;24;0;10;17;0;9;0;34;0;0;1;0;0;0;0;8;0;1
203;1;749907;263;214;51;4;18;15;53;0;1;3;9;5;0;0;0;0;1;0;0;0;2
204;1;1108284;0;583;0;166;0;0;52;0;92;0;0;19;0;4;0;0;0;0;7;0;7
205;1;1076004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;1;338742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;1;338742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
208;1;590594;397;75;47;13;3;0;0;0;0;2;0;0;1;1;0;0;1;1;0;0;3
209;1;303566;125;38;0;37;8;0;0;0;1;0;9;2;0;0;0;0;0;0;0;0;24
210;1;338282;0;179;0;0;228;0;0;12;0;0;14;0;9;0;0;16;0;0;1;0;1
211;1;404988;48;34;37;3;15;5;0;0;0;0;10;1;1;0;0;1;1;16;0;0;2
