ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8
417;1;232470;0;0;0;0;0;0;0;0
418;1;365310;0;0;0;0;0;0;0;0
419;1;470880;523;127;30;15;2;3;1;1
420;1;351674;313;10;10;14;1;0;0;4
421;1;458272;20;4;0;0;0;0;0;2
422;1;398343;144;13;1;14;1;0;0;4
423;1;477406;569;145;34;16;17;5;21;11
424;1;285678;436;129;38;39;8;6;0;4
425;1;464622;206;5;96;8;0;0;1;2
426;1;484507;257;18;71;4;1;6;0;2
427;1;1102086;324;74;17;1;62;6;0;2
428;1;364862;278;122;28;4;10;2;3;1
429;1;384911;225;20;67;2;10;0;0;1
430;1;637471;138;9;0;2;6;1;2;3
431;1;338399;158;143;10;4;9;15;1;3
432;1;1088122;877;85;91;14;74;23;1;1
433;1;457853;297;40;79;4;21;1;1;2
434;1;411410;315;59;17;0;1;0;1;1
435;1;364863;172;223;11;14;9;16;1;1
436;1;438306;30;20;12;0;0;2;0;2
437;1;365132;125;22;20;0;0;9;0;2
438;1;404841;152;33;94;10;9;8;13;2
439;1;365245;48;6;1;0;2;6;0;2
440;1;530897;119;0;276;45;0;6;14;3
441;1;351133;546;287;26;10;9;1;13;1
442;1;418305;54;37;2;14;11;20;1;2
443;1;378333;189;30;31;6;0;2;0;3
444;1;332038;47;6;0;4;0;0;0;5
445;1;451317;250;9;70;2;0;6;0;2
446;1;444835;70;27;31;15;13;20;1;2
447;1;636823;332;247;25;57;83;20;3;42
448;1;132063;219;0;126;13;0;3;0;6
449;1;484669;17;0;163;5;0;3;8;1
450;1;484866;0;0;0;0;0;0;0;0
451;1;365046;225;10;10;14;1;0;0;4
452;1;1081656;753;93;37;25;14;0;53;15
453;1;477732;366;32;80;5;1;6;0;2
454;1;378347;88;23;46;3;11;8;0;68
455;1;245063;207;93;7;0;1;0;0;14
456;1;929315;496;44;7;2;3;0;0;13
457;1;345221;145;7;3;1;3;0;0;4
458;1;311803;333;10;9;14;1;0;0;4
459;1;1115187;487;68;19;21;1;0;58;15
460;1;471582;0;0;0;0;0;0;0;0
461;1;371952;0;0;0;0;0;0;0;0
462;1;345384;0;0;0;0;0;0;0;0
463;1;411804;0;0;0;0;0;0;0;0
464;1;418446;0;0;0;0;0;0;0;0
465;1;46740;0;0;0;0;0;0;0;0
466;1;378584;5;0;0;0;1;0;0;4
467;1;351857;160;0;2;0;1;1;3;2
468;1;590863;253;8;0;2;6;1;2;3
469;1;491357;104;20;15;8;1;0;0;3
470;1;384528;237;241;72;102;13;39;2;2
471;1;371665;244;15;9;14;1;0;0;4
472;1;298688;103;41;10;0;44;0;3;1
473;1;557281;313;164;97;26;26;18;1;2
474;1;358216;177;223;11;14;9;16;1;1
475;1;497863;194;19;62;3;1;6;0;2
476;1;331785;231;41;21;1;3;16;0;2
477;1;404751;352;26;17;0;14;0;1;1
478;1;438141;186;18;8;16;1;0;0;2
479;1;365208;71;9;15;5;0;0;0;2
480;1;497552;476;47;21;1;16;5;21;11
481;1;497746;305;18;69;3;1;6;0;2
482;1;418295;59;25;17;14;13;20;1;2
483;1;491161;254;10;6;69;0;0;2;6
484;1;1088912;271;50;17;20;1;0;2;15
485;1;411804;0;0;0;0;0;0;0;0
486;1;345384;0;0;0;0;0;0;0;0
487;1;371952;0;0;0;0;0;0;0;0
488;1;484866;0;0;0;0;0;0;0;0
489;1;345384;0;0;0;0;0;0;0;0
490;1;276545;0;0;0;0;0;0;0;0
491;1;237595;0;0;0;0;0;0;0;0
492;1;312174;0;0;0;0;0;0;0;0
493;1;478224;0;0;0;0;0;0;0;0
494;1;484866;0;0;0;0;0;0;0;0
495;1;405162;0;0;0;0;0;0;0;0
496;1;338693;35;3;7;1;0;0;0;3
497;1;471204;269;22;74;4;1;6;0;2
498;1;378416;125;20;20;0;2;9;0;2
499;1;338662;68;2;1;0;7;0;0;2
500;1;451452;168;13;19;0;2;0;0;2
501;1;391528;247;37;19;39;1;3;3;1
502;1;398206;105;111;44;1;42;0;9;2
503;1;456394;1257;371;142;64;24;0;17;29
504;1;385156;68;5;0;1;2;0;0;4
505;1;391693;18;34;69;18;7;35;0;4
506;1;331801;250;15;9;20;1;0;0;4
507;1;484449;327;10;70;2;0;6;0;2
508;1;305168;248;88;25;1;0;0;0;2
509;1;58418;6;0;0;0;0;0;0;1
510;1;371952;0;0;0;0;0;0;0;0
511;1;312115;44;6;3;4;0;0;0;2
512;1;424926;74;56;25;1;0;3;2;1
513;1;365036;232;14;9;14;1;0;0;4
514;1;477816;283;33;79;4;1;6;0;2
515;1;371695;205;23;17;2;2;3;4;1
516;1;909120;696;59;49;3;22;0;1;4
517;1;345049;260;44;16;8;1;3;2;1
518;1;617038;326;182;105;3;26;18;6;2
519;1;358561;0;18;0;86;0;1;0;2
520;1;484144;555;122;14;15;14;0;1;1
521;1;583890;275;162;93;25;26;17;6;2
522;1;358492;153;17;0;0;2;2;0;2
523;1;477875;192;64;50;4;17;17;0;5
524;1;484206;432;157;37;19;5;5;0;5
525;1;305343;130;47;4;2;0;0;0;6
526;1;377963;286;275;18;17;15;16;1;3
527;1;378451;134;0;2;0;1;1;3;2
528;1;338565;156;1;13;1;1;1;0;4
529;1;471322;144;32;71;4;1;6;0;2
530;1;378383;136;24;38;3;4;0;0;6
531;1;391722;85;67;1;0;1;0;0;2
532;1;503991;647;132;19;0;1;0;1;1
533;1;491041;367;19;69;3;1;6;0;2
534;1;225813;62;7;27;0;0;0;0;1
535;1;364922;189;164;10;3;16;2;3;1
536;1;378327;160;95;3;4;1;2;1;1
537;1;451165;204;205;11;4;16;44;0;7
538;1;1088425;635;104;96;6;8;0;0;14
539;1;1135326;301;67;17;1;62;6;0;2
540;1;457205;794;121;76;19;37;1;30;15
541;1;345249;0;0;60;0;0;70;0;5
542;1;457823;264;47;21;102;18;14;5;4
543;1;975592;614;80;61;3;10;0;0;14
544;1;272487;106;35;2;0;0;4;2;14
545;1;398300;195;17;2;0;2;2;1;1
546;1;1154728;753;87;33;25;14;0;53;15
547;1;749566;500;347;42;23;28;37;0;3
548;1;398058;289;53;38;4;30;41;6;1
549;1;391878;0;0;0;0;0;0;0;0
550;1;411804;0;0;0;0;0;0;0;0
551;1;311975;124;36;10;1;4;15;6;3
552;1;344785;424;133;18;8;10;2;3;1
553;1;411602;103;64;22;0;0;4;0;9
554;1;358298;297;2;21;32;0;5;8;5
555;1;411654;108;24;8;5;0;0;0;5
556;1;1102088;324;72;17;1;62;6;0;2
557;1;478178;40;4;0;0;0;0;0;2
558;1;424296;343;371;31;14;18;1;13;1
559;1;358544;91;19;8;1;2;0;0;3
560;1;391668;93;25;74;2;11;0;1;4
561;1;411763;28;4;3;4;0;0;0;2
562;1;537369;499;59;21;1;16;5;21;11
563;1;404978;155;14;5;9;0;0;0;1
564;1;503878;764;111;18;15;1;3;1;1
565;1;431621;90;7;2;5;0;0;0;5
566;1;378456;46;43;18;20;0;0;2;9
567;1;484678;113;3;62;2;0;6;0;2
568;1;491492;10;4;0;0;0;0;0;2
569;1;311876;192;32;43;12;1;16;0;2
570;1;497931;143;2;63;3;0;6;0;2
571;1;863193;179;60;18;4;0;5;0;1
572;1;358521;107;13;3;14;6;0;0;4
573;1;1022055;671;95;12;2;20;0;0;13
574;1;378594;0;0;0;0;0;0;0;0
575;1;425088;0;0;0;0;0;0;0;0
576;1;491508;0;0;0;0;0;0;0;0
577;1;325458;0;0;0;0;0;0;0;0
578;1;418446;0;0;0;0;0;0;0;0
579;1;484866;0;0;0;0;0;0;0;0
580;1;66215;0;0;0;0;0;0;0;0
581;1;305532;0;0;0;0;0;0;0;0
582;1;538002;0;0;0;0;0;0;0;0
583;1;365310;0;0;0;0;0;0;0;0
584;1;450820;561;141;65;18;37;0;13;1
585;1;279713;421;132;52;102;13;6;0;1
586;1;471410;81;10;70;3;0;6;0;2
587;1;411766;21;5;2;5;1;3;0;1
588;1;378578;0;0;0;14;0;0;0;2
589;1;299774;94;8;3;10;2;0;0;24
590;1;457853;297;40;79;4;21;1;1;2
591;1;358668;0;0;0;0;0;0;0;0
592;1;458298;0;0;0;0;0;0;0;0
593;1;298890;0;0;0;0;0;0;0;0
594;1;431730;0;0;0;0;0;0;0;0
595;1;352026;0;0;0;0;0;0;0;0
596;1;338742;0;0;0;0;0;0;0;0
597;1;50635;0;0;0;0;0;0;0;0
598;1;365310;0;0;0;0;0;0;0;0
599;1;233700;0;0;0;0;0;0;0;0
