ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11
338;1;1109214;0;0;0;0;0;0;0;0;0;0;0
339;1;358668;0;0;0;0;0;0;0;0;0;0;0
340;1;445014;0;0;0;0;0;0;0;0;0;0;0
341;1;431730;0;0;0;0;0;0;0;0;0;0;0
342;1;378594;0;0;0;0;0;0;0;0;0;0;0
343;1;498150;0;0;0;0;0;0;0;0;0;0;0
344;1;318816;0;0;0;0;0;0;0;0;0;0;0
345;1;155742;0;28;0;24;0;4;0;1;0;0;1
346;1;391265;367;32;50;1;96;1;9;44;8;1;4
347;1;167014;353;59;39;3;1;0;0;0;2;8;6
348;1;438317;0;0;19;0;0;14;0;0;21;0;1
349;1;338742;0;0;0;0;0;0;0;0;0;0;0
350;1;378594;0;0;0;0;0;0;0;0;0;0;0
351;1;470950;363;45;61;2;17;100;0;2;40;1;1
352;1;351862;133;0;10;0;8;0;0;6;0;0;7
353;1;518076;0;0;0;0;0;0;0;0;0;0;0
354;1;318816;0;0;0;0;0;0;0;0;0;0;0
355;1;318816;0;0;0;0;0;0;0;0;0;0;0
356;1;371952;0;0;0;0;0;0;0;0;0;0;0
357;1;352026;0;0;0;0;0;0;0;0;0;0;0
358;1;398340;131;13;9;16;4;1;0;0;2;0;4
359;1;384599;322;61;88;26;11;0;68;18;2;1;40
360;1;1088251;778;97;74;4;14;52;10;6;0;0;2
361;1;233005;49;7;2;0;0;5;0;0;0;0;2
362;1;969357;201;67;35;60;1;4;6;0;0;0;1
363;1;636972;479;97;59;18;1;4;0;0;0;0;2
364;1;491160;241;15;9;72;1;2;0;6;0;0;2
365;1;630275;529;105;58;17;0;4;0;0;0;0;2
366;1;1114974;627;86;76;4;14;57;10;6;0;0;2
367;1;311991;125;9;21;12;0;5;7;2;0;0;2
368;1;524696;15;2;3;0;0;0;0;0;0;1;1
369;1;378210;146;74;23;46;69;4;11;0;7;1;3
370;1;338242;235;207;21;19;0;2;10;0;2;3;1
371;1;424754;156;88;20;2;65;0;0;0;0;1;2
372;1;1002252;482;54;77;13;31;27;1;0;0;1;4
373;1;444456;267;124;34;4;0;0;86;3;5;0;35
374;1;152530;181;25;20;2;1;2;0;0;0;0;5
375;1;623696;483;98;46;18;1;4;0;0;0;0;2
376;1;1081067;1150;213;82;27;21;4;14;0;52;10;6
377;1;1128261;626;86;74;4;14;57;10;6;0;0;2
378;1;391627;217;9;8;5;5;6;0;0;0;0;1
379;1;331219;540;282;0;26;10;9;0;0;13;0;1
380;1;384571;0;346;0;172;0;58;0;74;0;14;1
381;1;629236;1143;286;165;72;18;25;26;15;2;0;2
382;1;358541;0;23;0;92;0;1;0;10;0;0;1
383;1;351662;166;0;149;10;0;12;9;0;16;1;1
384;1;345059;200;45;2;65;2;3;7;0;0;0;1
385;1;1135767;0;0;0;9;0;0;0;1;0;0;5
386;1;371952;0;0;0;0;0;0;0;0;0;0;0
387;1;411804;0;0;0;0;0;0;0;0;0;0;0
388;1;345384;0;0;0;0;0;0;0;0;0;0;0
389;1;365310;0;0;0;0;0;0;0;0;0;0;0
