ID_interaction;Class_interactions;0;1;2;3;4;5;6;7
289;1;311897;165;32;18;42;5;14;1
290;1;331915;137;39;2;0;1;2;4
291;1;504508;173;98;2;3;6;0;2
292;1;385115;92;12;10;6;0;0;1
293;1;557264;517;100;10;5;5;14;13
294;1;411498;171;46;54;23;1;6;5
295;1;163536;0;22;0;0;29;0;3
296;1;590985;102;40;4;0;0;2;5
297;1;438372;0;0;0;0;0;0;0
298;1;405162;0;0;0;0;0;0;0
299;1;504792;0;0;0;0;0;0;0
300;1;425088;0;0;0;0;0;0;0
301;1;365151;145;2;2;6;1;2;1
302;1;477830;241;105;24;13;1;4;6
303;1;464628;228;74;0;2;6;0;2
304;1;451031;418;193;3;3;6;0;2
305;1;451471;152;12;13;5;1;0;2
306;1;511038;319;55;17;1;2;0;2
307;1;517679;290;95;1;3;6;0;2
308;1;1081633;773;121;33;17;1;53;15
309;1;1108493;553;84;14;53;15;0;2
310;1;371893;44;3;10;0;0;0;2
311;1;405162;0;0;0;0;0;0;0
312;1;405162;0;0;0;0;0;0;0
313;1;365310;0;0;0;0;0;0;0
314;1;464940;0;0;0;0;0;0;0
315;1;391878;0;0;0;0;0;0;0
316;1;484773;77;4;5;0;0;2;5
317;1;497694;346;95;4;3;6;0;2
318;1;351870;125;12;6;0;6;0;7
319;1;1134819;724;119;34;17;1;53;15
320;1;418078;227;86;20;7;0;26;2
321;1;351679;308;19;1;14;1;0;4
322;1;604308;90;14;4;5;0;0;1
323;1;338668;49;13;9;1;0;0;2
324;1;318747;42;3;8;1;1;13;1
325;1;358487;55;50;9;0;13;52;2
326;1;365130;127;25;15;2;9;0;2
327;1;603961;262;132;20;45;0;0;2
328;1;451007;533;48;17;16;1;22;12
329;1;491152;266;77;3;2;6;0;2
330;1;597201;285;212;18;43;16;3;2
331;1;371778;122;26;15;0;9;0;2
332;1;358561;29;9;55;6;3;0;5
333;1;391731;129;13;2;0;0;0;3
334;1;616928;479;77;50;109;20;1;42
335;1;484509;262;90;1;1;1;0;2
336;1;229805;0;0;0;0;0;0;0
337;1;391878;0;0;0;0;0;0;0
338;1;1109214;0;0;0;0;0;0;0
339;1;358668;0;0;0;0;0;0;0
340;1;445014;0;0;0;0;0;0;0
341;1;431730;0;0;0;0;0;0;0
342;1;378594;0;0;0;0;0;0;0
343;1;498150;0;0;0;0;0;0;0
344;1;318816;0;0;0;0;0;0;0
345;1;155742;28;24;0;4;1;0;1
346;1;391552;112;51;96;1;53;9;4
347;1;167305;121;42;1;0;0;2;14
348;1;438317;0;19;0;14;0;21;1
349;1;338742;0;0;0;0;0;0;0
350;1;378594;0;0;0;0;0;0;0
351;1;470950;408;61;19;100;2;40;2
352;1;351862;133;10;8;0;6;0;7
353;1;518076;0;0;0;0;0;0;0
354;1;318816;0;0;0;0;0;0;0
355;1;318816;0;0;0;0;0;0;0
356;1;371952;0;0;0;0;0;0;0
357;1;352026;0;0;0;0;0;0;0
358;1;398471;13;25;4;1;0;2;4
359;1;384599;383;88;37;68;18;3;40
360;1;1088717;409;78;14;53;15;0;2
361;1;233052;9;2;0;5;0;0;2
362;1;969488;137;93;3;4;6;0;1
363;1;637286;262;75;3;4;0;0;2
364;1;491160;256;79;3;2;6;0;2
365;1;630623;286;73;2;4;0;0;2
366;1;1115363;324;80;14;58;15;0;2
367;1;311991;134;22;11;12;2;0;2
368;1;524705;8;3;0;0;0;0;2
369;1;378356;74;69;69;4;11;7;4
370;1;338477;207;37;3;10;2;2;4
371;1;424910;88;22;65;0;0;1;2
372;1;1002252;536;90;31;27;1;1;4
373;1;444661;186;34;4;68;21;5;35
374;1;152530;206;20;3;2;0;0;5
375;1;624009;268;62;3;4;0;0;2
376;1;1081857;573;102;28;17;1;53;15
377;1;1128649;324;78;14;58;15;0;2
378;1;391774;79;8;10;6;0;0;1
379;1;331759;282;26;10;9;0;13;1
380;1;384571;346;172;0;58;74;14;1
381;1;630379;286;237;18;51;15;2;2
382;1;358541;23;92;0;1;10;0;1
383;1;351662;166;149;10;12;9;16;2
384;1;345144;160;65;4;3;7;0;1
385;1;1135767;0;9;0;0;1;0;5
386;1;371952;0;0;0;0;0;0;0
387;1;411804;0;0;0;0;0;0;0
388;1;345384;0;0;0;0;0;0;0
389;1;365310;0;0;0;0;0;0;0
390;1;1115856;0;0;0;0;0;0;0
391;1;305473;27;13;17;0;0;0;2
392;1;397899;434;92;13;34;34;13;1
393;1;597553;127;49;2;43;1;3;2
394;1;338462;246;18;2;10;2;0;2
395;1;557440;200;208;8;5;12;47;8
396;1;1122024;315;72;15;55;15;0;2
397;1;391686;92;26;65;3;1;3;2
398;1;385149;73;2;10;0;0;0;2
399;1;1134690;885;70;31;14;63;25;4
400;1;385236;0;0;0;0;0;0;0
401;1;351886;43;28;1;65;0;0;3
402;1;418241;125;51;20;4;0;4;1
403;1;590570;277;209;18;43;16;3;2
404;1;338636;67;25;2;4;2;2;4
405;1;291921;238;25;11;36;1;14;2
