ID_interaction;Class_interactions;0;1
521;1;584420;76
522;1;358662;6
523;1;478181;43
524;1;484832;34
525;1;305524;8
526;1;378559;35
527;1;378587;7
528;1;338735;7
529;1;471571;11
530;1;378584;10
531;1;391875;3
532;1;504789;3
533;1;491497;11
534;1;225909;1
535;1;365285;25
536;1;378589;5
537;1;451585;71
538;1;1089265;23
539;1;1135712;70
540;1;458215;83
541;1;345309;75
542;1;458246;52
543;1;976349;25
544;1;272630;20
545;1;398514;6
546;1;1155622;86
547;1;750463;83
548;1;398438;82
549;1;391878;0
550;1;411804;0
551;1;312145;29
552;1;345361;23
553;1;411791;13
554;1;358634;34
555;1;411794;10
556;1;1102502;70
557;1;478222;2
558;1;425055;33
559;1;358663;5
560;1;391860;18
561;1;411798;6
562;1;537948;54
563;1;405155;7
564;1;504771;21
565;1;431720;10
566;1;378568;26
567;1;484856;10
568;1;491506;2
569;1;312143;31
570;1;498140;10
571;1;863454;6
572;1;358644;24
573;1;1022834;34
574;1;378594;0
575;1;425088;0
576;1;491508;0
577;1;325458;0
578;1;418446;0
579;1;484866;0
580;1;66215;0
581;1;305532;0
582;1;538002;0
583;1;365310;0
584;1;451605;51
585;1;280420;20
586;1;471572;10
587;1;411794;10
588;1;378578;16
589;1;299879;36
590;1;458269;29
591;1;358668;0
592;1;458298;0
593;1;298890;0
594;1;431730;0
595;1;352026;0
596;1;338742;0
