ID_interaction;Class_interactions;0;1;2
322;1;604401;20;1
323;1;338728;12;2
324;1;318789;12;15
325;1;358581;20;67
326;1;365277;22;11
327;1;604272;148;2
328;1;451588;34;34
329;1;491426;74;8
330;1;597628;131;21
331;1;371922;19;11
332;1;358599;61;8
333;1;391871;4;3
334;1;617484;159;63
335;1;484791;72;3
336;1;229805;0;0
337;1;391878;0;0
338;1;1109214;0;0
339;1;358668;0;0
340;1;445014;0;0
341;1;431730;0;0
342;1;378594;0;0
343;1;498150;0;0
344;1;318816;0;0
345;1;155770;28;2
346;1;391714;107;57
347;1;167465;4;16
348;1;438336;14;22
349;1;338742;0;0
350;1;378594;0;0
351;1;471419;119;44
352;1;352005;8;13
353;1;518076;0;0
354;1;318816;0;0
355;1;318816;0;0
356;1;371952;0;0
357;1;352026;0;0
358;1;398493;21;6
359;1;385070;105;61
360;1;1089200;80;8
361;1;233063;5;2
362;1;969660;71;1
363;1;637607;23;2
364;1;491425;75;8
365;1;630967;21;2
366;1;1115763;85;8
367;1;312146;24;4
368;1;524716;0;2
369;1;378453;130;11
370;1;338705;31;6
371;1;425018;67;3
372;1;1002865;72;5
373;1;444881;90;43
374;1;152756;5;5
375;1;624323;23;2
376;1;1082512;66;68
377;1;1129047;85;8
378;1;391861;16;1
379;1;332041;45;14
380;1;384917;230;89
381;1;630830;141;19
382;1;358564;93;11
383;1;351977;31;18
384;1;345306;77;1
385;1;1135767;9;6
386;1;371952;0;0
387;1;411804;0;0
388;1;345384;0;0
389;1;365310;0;0
390;1;1115856;0;0
391;1;305500;30;2
392;1;398391;81;48
393;1;597710;64;6
394;1;338726;12;4
395;1;557848;25;55
396;1;1122407;83;8
397;1;391801;71;6
398;1;385223;11;2
399;1;1135630;60;92
400;1;385236;0;0
401;1;351957;66;3
402;1;418399;42;5
403;1;590986;131;21
404;1;338713;23;6
405;1;292184;47;17
406;1;491424;76;8
407;1;411797;4;3
408;1;976336;21;17
409;1;464849;83;8
410;1;325449;7;2
411;1;398504;12;4
412;1;312164;5;5
413;1;591093;3;42
414;1;604422;0;0
415;1;425088;0;0
416;1;42845;0;0
417;1;232470;0;0
418;1;365310;0;0
419;1;471530;47;5
420;1;351997;25;4
421;1;458296;0;2
422;1;398500;16;4
423;1;478120;67;37
424;1;286243;85;10
425;1;464833;104;3
426;1;484782;76;8
427;1;1102484;80;8
428;1;365262;42;6
429;1;385156;79;1
430;1;637618;8;6
431;1;338700;23;19
432;1;1089084;179;25
433;1;458190;104;4
434;1;411784;18;2
435;1;365258;34;18
436;1;438356;12;4
437;1;365279;20;11
438;1;405026;113;23
439;1;365299;3;8
440;1;531016;321;23
441;1;351966;45;15
442;1;418396;27;23
443;1;378552;37;5
444;1;332091;4;5
445;1;451576;72;8
446;1;444932;59;23
447;1;637402;165;65
448;1;132282;139;9
449;1;484686;168;12
450;1;484866;0;0
451;1;365281;25;4
452;1;1082502;76;68
453;1;478130;86;8
454;1;378458;60;76
455;1;245363;8;14
456;1;929855;12;13
457;1;345373;7;4
458;1;312146;24;4
459;1;1115742;41;73
460;1;471582;0;0
461;1;371952;0;0
462;1;345384;0;0
463;1;411804;0;0
464;1;418446;0;0
465;1;46740;0;0
466;1;378589;1;4
467;1;352017;3;6
468;1;591124;8;6
469;1;491481;24;3
470;1;385006;187;43
471;1;371924;24;4
472;1;298832;54;4
473;1;557758;149;21
474;1;358616;34;18
475;1;498076;66;8
476;1;332057;25;18
477;1;405129;31;2
478;1;438345;25;2
479;1;365288;20;2
480;1;498075;38;37
481;1;498069;73;8
482;1;418379;44;23
483;1;491425;75;8
484;1;1089233;38;17
485;1;411804;0;0
486;1;345384;0;0
487;1;371952;0;0
488;1;484866;0;0
489;1;345384;0;0
490;1;276545;0;0
491;1;237595;0;0
492;1;312174;0;0
493;1;478224;0;0
494;1;484866;0;0
495;1;405162;0;0
496;1;338731;8;3
497;1;471495;79;8
498;1;378561;22;11
499;1;338732;8;2
500;1;451633;21;2
501;1;391812;59;7
502;1;398422;87;11
503;1;458022;230;46
504;1;385229;3;4
505;1;391745;94;39
506;1;332066;30;4
507;1;484786;72;8
508;1;305504;26;2
509;1;58424;0;1
510;1;371952;0;0
511;1;312165;7;2
512;1;425056;26;6
513;1;365282;24;4
514;1;478132;84;8
515;1;371923;21;8
516;1;909875;74;5
517;1;345353;25;6
518;1;617546;134;26
519;1;358579;86;3
520;1;484821;43;2
521;1;584327;144;25
522;1;358662;2;4
523;1;478131;71;22
524;1;484795;61;10
525;1;305520;6;6
526;1;378524;50;20
527;1;378585;3;6
528;1;338722;15;5
529;1;471498;76;8
530;1;378543;45;6
531;1;391874;2;2
532;1;504770;20;2
533;1;491427;73;8
534;1;225882;27;1
535;1;365275;29;6
536;1;378582;8;4
537;1;451574;31;51
538;1;1089164;110;14
539;1;1135694;80;8
540;1;458120;132;46
541;1;345249;60;75
542;1;458134;141;23
543;1;976286;74;14
544;1;272628;2;20
545;1;398512;4;4
546;1;1155568;72;68
547;1;750413;93;40
548;1;398400;72;48
549;1;391878;0;0
550;1;411804;0;0
551;1;312135;15;24
552;1;345342;36;6
553;1;411769;22;13
554;1;358597;53;18
555;1;411786;13;5
556;1;1102484;80;8
557;1;478222;0;2
558;1;425010;63;15
559;1;358654;11;3
560;1;391786;87;5
561;1;411795;7;2
562;1;537927;38;37
563;1;405147;14;1
564;1;504753;34;5
565;1;431718;7;5
566;1;378545;38;11
567;1;484794;64;8
568;1;491506;0;2
569;1;312100;56;18
570;1;498076;66;8
571;1;863432;22;6
572;1;358641;23;4
573;1;1022821;34;13
574;1;378594;0;0
575;1;425088;0;0
576;1;491508;0;0
577;1;325458;0;0
578;1;418446;0;0
579;1;484866;0;0
580;1;66215;0;0
581;1;305532;0;0
582;1;538002;0;0
583;1;365310;0;0
584;1;451522;120;14
585;1;280266;167;7
586;1;471501;73;8
587;1;411792;8;4
588;1;378578;14;2
589;1;299876;15;24
590;1;458190;104;4
591;1;358668;0;0
592;1;458298;0;0
593;1;298890;0;0
594;1;431730;0;0
595;1;352026;0;0
596;1;338742;0;0
597;1;50635;0;0
