ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
251;1;405142;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
252;1;364831;393;35;16;8;23;2;0;0;0;0;0;0;0;0;0;0;2
253;1;377999;308;0;210;31;0;22;19;0;3;0;0;0;0;0;0;0;2
254;1;497566;172;260;31;27;0;78;2;3;2;1;0;6;0;0;0;0;2
255;1;1100626;1462;238;86;20;52;4;13;1;0;53;9;6;0;0;0;0;2
256;1;345228;75;49;19;0;6;0;0;0;1;2;0;0;0;0;0;0;4
257;1;456015;1556;348;100;38;32;4;13;0;82;33;1;2;8;56;0;9;1
258;1;351574;0;177;0;223;0;11;0;0;14;0;9;0;16;0;1;0;1
259;1;371014;502;265;59;0;77;19;3;0;3;5;0;0;0;1;0;0;4
260;1;252257;117;6;4;0;2;0;0;0;5;1;0;1;2;0;0;0;1
261;1;489675;918;593;98;111;39;5;18;0;1;15;1;0;2;20;1;9;2
262;1;391626;119;61;8;35;1;13;2;0;8;1;0;1;2;0;0;0;1
263;1;259038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
264;1;371952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
265;1;411804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
266;1;484866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
267;1;371952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
268;1;604250;17;0;49;97;0;4;0;0;3;0;0;0;0;0;0;0;2
269;1;437423;684;0;153;36;0;4;0;51;4;0;0;0;13;0;0;0;4
270;1;497494;251;293;13;18;0;69;0;1;2;1;0;6;0;0;0;0;2
271;1;284197;0;74;0;0;39;0;20;0;0;2;0;0;0;0;2;0;1
272;1;371520;0;166;0;222;0;12;0;0;6;0;9;0;15;0;1;0;1
273;1;610582;352;107;9;5;0;0;0;2;0;0;1;1;0;1;1;0;3
274;1;1080626;1049;420;313;64;32;22;12;21;4;13;2;0;0;52;1;9;6
275;1;504101;259;314;14;23;0;69;0;1;2;1;0;6;0;0;0;0;2
276;1;1087262;1038;456;248;105;22;15;27;4;13;1;0;11;62;9;11;3;1
277;1;562583;1177;340;0;161;80;30;0;18;26;0;88;20;6;0;1;5;35
278;1;596393;1007;0;218;79;0;28;7;0;12;26;0;0;2;0;6;0;2
279;1;514884;1326;1092;421;0;194;40;27;0;28;26;2;4;0;4;22;5;1
280;1;351408;357;214;8;0;10;9;1;0;14;0;1;0;0;0;0;0;4
281;1;371000;556;0;142;0;65;0;90;0;88;1;0;8;0;1;0;0;1
282;1;497363;289;343;29;34;0;79;0;2;2;1;0;6;0;0;0;0;2
283;1;1087196;1080;463;312;63;32;22;13;21;4;13;1;0;0;52;1;9;6
284;1;364917;275;56;27;7;14;5;3;1;0;2;0;0;0;0;0;0;3
285;1;477679;148;277;13;25;0;70;0;1;2;1;0;6;0;0;0;0;2
286;1;397677;360;358;35;44;28;4;5;0;2;2;2;0;1;0;1;0;1
287;1;503686;730;296;38;8;11;4;13;0;0;1;0;3;0;0;1;0;1
288;1;377792;328;260;57;24;9;71;2;5;2;2;2;0;2;0;3;0;35
289;1;311158;739;0;165;0;32;0;18;0;31;11;0;5;0;14;0;0;1
290;1;331119;553;243;59;78;15;24;2;0;0;0;1;0;2;0;3;0;1
291;1;504249;259;150;23;27;0;71;0;2;2;1;0;6;0;0;0;0;2
292;1;384785;210;190;22;6;6;0;10;0;5;1;0;0;0;0;0;0;1
293;1;555930;1334;400;117;36;64;6;4;0;5;0;1;4;9;5;7;0;6
294;1;411498;0;171;0;46;0;54;0;0;23;0;1;0;6;0;2;0;3
295;1;163536;0;0;0;0;0;22;0;0;0;0;0;29;0;0;0;0;3
296;1;590985;0;102;0;40;0;4;0;0;0;0;0;0;2;0;0;0;5
297;1;438372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
298;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
299;1;504792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;1;425088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;1;365081;70;55;76;15;1;0;2;0;5;1;0;1;2;0;0;0;1
302;1;477241;589;134;107;90;15;6;18;0;9;4;0;1;2;2;0;1;5
303;1;464536;92;218;10;4;0;70;0;0;2;0;0;6;0;0;0;0;2
